id,budget,algorithm,im,avgDist,optTime,execTime
1-03.json,5000,NAIVE,168.08766787125361,0.49516908212560407,5,195
1-03.json,5000,TAP,225.1922194411739,0.7270531400966186,40,268
1-03.json,6000,NAIVE,193.89376835667102,0.6111111111111114,7,260
1-03.json,6000,TAP,225.1922194411739,0.7173913043478266,35,299
1-03.json,7000,NAIVE,206.6924205873667,0.6570048309178748,6,248
1-03.json,7000,TAP,225.1922194411739,0.7004830917874402,22,263
1-03.json,8000,NAIVE,206.6924205873667,0.6666666666666669,6,258
1-03.json,8000,TAP,225.1922194411739,0.6787439613526576,21,239
1-03.json,9000,NAIVE,206.6924205873667,0.6763285024154592,6,233
1-03.json,9000,TAP,225.1922194411739,0.7318840579710149,21,237
1-03.json,10000,NAIVE,206.6924205873667,0.6328502415458941,6,221
1-03.json,10000,TAP,225.1922194411739,0.7367149758454112,22,253
1-04.json,1000,NAIVE,512.5632158203172,1.1352657004830933,52,1311
1-04.json,1000,TAP,474.6827755998949,0.9615458937198086,334,685
1-04.json,2000,NAIVE,512.5632158203172,1.1280193236714995,51,644
1-04.json,2000,TAP,518.6234761180092,1.1352657004830942,329,639
1-04.json,3000,NAIVE,512.5632158203172,1.0712560386473449,52,644
1-04.json,3000,TAP,518.6234761180092,1.1328502415458956,333,667
1-04.json,4000,NAIVE,512.5632158203172,1.1183574879227076,54,656
1-04.json,4000,TAP,518.6234761180092,1.057971014492755,361,719
1-04.json,5000,NAIVE,512.5632158203172,1.0555555555555574,53,686
1-04.json,5000,TAP,518.6234761180092,1.111111111111113,338,667
1-04.json,6000,NAIVE,512.5632158203172,1.1425120772946875,50,668
1-04.json,6000,TAP,518.6234761180092,1.0579710144927552,333,664
1-04.json,7000,NAIVE,512.5632158203172,1.0579710144927557,50,663
1-04.json,7000,TAP,518.6234761180092,1.1231884057971038,357,703
1-04.json,8000,NAIVE,512.5632158203172,1.1280193236714995,51,691
1-04.json,8000,TAP,518.6234761180092,1.0314009661835768,334,660
1-04.json,9000,NAIVE,512.5632158203172,1.1280193236714995,51,689
1-04.json,9000,TAP,518.6234761180092,1.0869565217391317,345,695
1-04.json,10000,NAIVE,512.5632158203172,1.0555555555555576,55,661
1-04.json,10000,TAP,518.6234761180092,1.1280193236714995,328,643
1-05.json,1000,NAIVE,520.5091740148622,0.9214975845410647,47,358
1-05.json,1000,TAP,527.1491778357242,0.9951690821256055,491,267
1-05.json,2000,NAIVE,520.5091740148622,0.8792270531400986,50,236
1-05.json,2000,TAP,527.1491778357242,0.929951690821258,435,230
1-05.json,3000,NAIVE,520.5091740148622,0.9347826086956542,50,209
1-05.json,3000,TAP,527.1491778357242,0.9818840579710169,369,231
1-05.json,4000,NAIVE,520.5091740148622,0.9685990338164268,48,208
1-05.json,4000,TAP,527.1491778357242,1.0193236714975855,315,239
1-05.json,5000,NAIVE,520.5091740148622,0.9287439613526592,50,215
1-05.json,5000,TAP,527.1491778357242,1.009661835748794,305,233
1-05.json,6000,NAIVE,520.5091740148622,0.9613526570048329,50,206
1-05.json,6000,TAP,527.1491778357242,1.0169082125603888,303,238
1-05.json,7000,NAIVE,520.5091740148622,0.9190821256038666,48,229
1-05.json,7000,TAP,527.1491778357242,0.9891304347826102,300,251
1-05.json,8000,NAIVE,520.5091740148622,0.9057971014492772,54,243
1-05.json,8000,TAP,527.1491778357242,0.9444444444444452,322,257
1-05.json,9000,NAIVE,520.5091740148622,0.9371980676328517,49,212
1-05.json,9000,TAP,527.1491778357242,1.0048309178743982,296,238
1-05.json,10000,NAIVE,520.5091740148622,0.9541062801932387,50,217
1-05.json,10000,TAP,527.1491778357242,0.9806763285024167,297,225
2-07.json,1000,NAIVE,324.54820915031127,0.6618357487922721,56,2942
2-07.json,1000,TAP,330.28564564255436,0.6521739130434799,189,556
2-07.json,2000,NAIVE,324.54820915031127,0.6521739130434797,32,526
2-07.json,2000,TAP,330.28564564255436,0.6352657004830936,171,533
2-07.json,3000,NAIVE,324.54820915031127,0.6666666666666683,30,545
2-07.json,3000,TAP,330.28564564255436,0.6521739130434798,179,554
2-07.json,4000,NAIVE,324.54820915031127,0.6231884057971029,33,521
2-07.json,4000,TAP,330.28564564255436,0.6666666666666681,175,533
2-07.json,5000,NAIVE,324.54820915031127,0.6521739130434794,30,513
2-07.json,5000,TAP,330.28564564255436,0.6425120772946872,181,529
2-07.json,6000,NAIVE,324.54820915031127,0.6425120772946874,30,519
2-07.json,6000,TAP,330.28564564255436,0.6594202898550745,169,517
2-07.json,7000,NAIVE,324.54820915031127,0.6594202898550745,31,530
2-07.json,7000,TAP,330.28564564255436,0.6521739130434799,169,527
2-07.json,8000,NAIVE,324.54820915031127,0.6521739130434793,28,518
2-07.json,8000,TAP,330.28564564255436,0.6618357487922725,183,523
2-07.json,9000,NAIVE,324.54820915031127,0.6594202898550736,29,521
2-07.json,9000,TAP,330.28564564255436,0.6570048309178761,172,528
2-07.json,10000,NAIVE,324.54820915031127,0.6328502415458952,29,538
2-07.json,10000,TAP,330.28564564255436,0.6376811594202914,171,525
2-08.json,1000,NAIVE,339.8508878068556,0.6400966183574894,54,2734
2-08.json,1000,TAP,345.87161024093535,0.6400966183574897,283,552
2-08.json,2000,NAIVE,339.8508878068556,0.6570048309178755,43,571
2-08.json,2000,TAP,345.87161024093535,0.6256038647343012,277,549
2-08.json,3000,NAIVE,339.8508878068556,0.6666666666666681,41,561
2-08.json,3000,TAP,345.87161024093535,0.6618357487922721,283,567
2-08.json,4000,NAIVE,339.8508878068556,0.6570048309178762,38,543
2-08.json,4000,TAP,345.87161024093535,0.6570048309178763,286,561
2-08.json,5000,NAIVE,339.8508878068556,0.6666666666666682,43,555
2-08.json,5000,TAP,345.87161024093535,0.6666666666666685,287,561
2-08.json,6000,NAIVE,339.8508878068556,0.6304347826086972,43,540
2-08.json,6000,TAP,345.87161024093535,0.6449275362318856,289,563
2-08.json,7000,NAIVE,339.8508878068556,0.6280193236714993,41,546
2-08.json,7000,TAP,345.87161024093535,0.6521739130434793,282,553
2-08.json,8000,NAIVE,339.8508878068556,0.6666666666666683,42,549
2-08.json,8000,TAP,345.87161024093535,0.661835748792272,279,552
2-08.json,9000,NAIVE,339.8508878068556,0.6183574879227068,38,548
2-08.json,9000,TAP,345.87161024093535,0.6425120772946878,278,542
2-08.json,10000,NAIVE,339.8508878068556,0.6521739130434796,39,559
2-08.json,10000,TAP,345.87161024093535,0.6449275362318859,284,555
2-09.json,1000,NAIVE,252.1788254317473,0.6304347826086966,38,2083
2-09.json,1000,TAP,258.777090185533,0.6304347826086968,195,378
2-09.json,2000,NAIVE,252.1788254317473,0.637681159420291,29,363
2-09.json,2000,TAP,258.777090185533,0.657004830917875,174,379
2-09.json,3000,NAIVE,252.1788254317473,0.6618357487922713,28,370
2-09.json,3000,TAP,258.777090185533,0.6497584541062813,176,376
2-09.json,4000,NAIVE,252.1788254317473,0.642512077294687,31,370
2-09.json,4000,TAP,258.777090185533,0.6570048309178754,176,376
2-09.json,5000,NAIVE,252.1788254317473,0.6352657004830925,28,373
2-09.json,5000,TAP,258.777090185533,0.644927536231885,177,372
2-09.json,6000,NAIVE,252.1788254317473,0.647342995169083,27,374
2-09.json,6000,TAP,258.777090185533,0.6376811594202908,179,386
2-09.json,7000,NAIVE,252.1788254317473,0.6473429951690828,30,376
2-09.json,7000,TAP,258.777090185533,0.6449275362318849,174,376
2-09.json,8000,NAIVE,252.1788254317473,0.6449275362318851,27,368
2-09.json,8000,TAP,258.777090185533,0.6328502415458946,172,374
2-09.json,9000,NAIVE,252.1788254317473,0.6400966183574884,32,371
2-09.json,9000,TAP,258.777090185533,0.6280193236714984,177,376
2-09.json,10000,NAIVE,252.1788254317473,0.6256038647343004,27,387
2-09.json,10000,TAP,258.777090185533,0.6400966183574888,171,374
3-11.json,1000,NAIVE,130.18160986604008,0.30193236714975913,15,1989
3-11.json,1000,TAP,189.68759609856326,0.509661835748793,117,757
3-11.json,2000,NAIVE,163.27181682093916,0.4227053140096625,8,82
3-11.json,2000,TAP,228.85113328200913,0.6328502415458949,121,970
3-11.json,3000,NAIVE,202.89431352197226,0.5652173913043486,29,105
3-11.json,3000,TAP,228.85113328200913,0.6111111111111119,101,123
3-11.json,4000,NAIVE,222.55222915385102,0.6521739130434788,12,121
3-11.json,4000,TAP,228.85113328200913,0.6280193236714982,79,123
3-11.json,5000,NAIVE,222.55222915385102,0.6521739130434792,13,143
3-11.json,5000,TAP,228.85113328200913,0.6280193236714983,66,125
3-11.json,6000,NAIVE,222.55222915385102,0.6328502415458948,12,133
3-11.json,6000,TAP,228.85113328200913,0.6449275362318849,72,143
