id,budget,algorithm,im,avgDist,optTime,execTime,candidates,nbExecuted,reoptGood,reoptBad;
1-04.json,5000,TAP,518.6234761180092,1.1147342995169103,686,753,84,84,69,15
1-05.json,500,NAIVE,34.451530385708054,0.05797101449275366,13,38,78,5,0,0
1-05.json,500,TAP,207.2402329159686,0.6473429951690827,217,189,78,30,24,6
1-05.json,1000,NAIVE,62.04732487003352,0.14734299516908234,14,49,78,9,0,0
1-05.json,1000,TAP,527.1491778357242,1.009661835748794,326,340,78,78,43,35
1-05.json,1500,NAIVE,89.74175466974725,0.25120772946859904,15,59,78,13,0,0
1-05.json,1500,TAP,527.1491778357242,0.9951690821256056,384,281,78,78,45,33
1-05.json,2000,NAIVE,117.46619914545842,0.3502415458937198,16,74,78,17,0,0
1-05.json,2000,TAP,527.1491778357242,1.0024154589371999,426,267,78,78,47,31
1-05.json,2500,NAIVE,138.2897986985335,0.3937198067632852,15,74,78,20,0,0
1-05.json,2500,TAP,527.1491778357242,0.9867149758454122,454,262,78,78,49,29
1-05.json,3000,NAIVE,166.15175888879452,0.485507246376812,19,88,78,24,0,0
1-05.json,3000,TAP,527.1491778357242,0.9263285024154606,487,276,78,78,51,27
1-05.json,4000,NAIVE,221.70900207607312,0.6618357487922706,24,115,78,32,0,0
1-05.json,4000,TAP,527.1491778357242,0.9746376811594222,634,265,78,78,55,23
1-05.json,5000,NAIVE,221.70900207607312,0.6618357487922708,24,119,78,32,0,0
1-05.json,5000,TAP,527.1491778357242,1.004830917874398,722,279,78,78,60,18
2-07.json,500,NAIVE,47.60386019344343,0.04347826086956541,14,334,56,8,0,0
2-07.json,500,TAP,35.870354341739876,0.11594202898550743,56,418,56,6,3,3
2-07.json,1000,NAIVE,83.57843521559703,0.1739130434782612,16,409,56,14,0,0
2-07.json,1000,TAP,95.85590565815907,0.260869565217392,156,808,56,16,10,6
2-07.json,1500,NAIVE,119.57510558984079,0.3188405797101458,21,452,56,20,0,0
2-07.json,1500,TAP,215.53691579769185,0.6521739130434792,325,1208,56,36,20,16
2-07.json,2000,NAIVE,155.6603666769102,0.46859903381642587,33,343,56,26,0,0
2-07.json,2000,TAP,330.28564564255436,0.6521739130434799,478,1271,56,56,32,24
2-07.json,2500,NAIVE,191.78796182708825,0.55072463768116,20,383,56,32,0,0
2-07.json,2500,TAP,330.28564564255436,0.65217391304348,329,643,56,56,43,13
2-07.json,3000,NAIVE,209.79947930544873,0.6449275362318848,20,407,56,35,0,0
2-07.json,3000,TAP,330.28564564255436,0.6570048309178758,336,659,56,56,46,10
2-07.json,4000,NAIVE,209.79947930544873,0.6376811594202904,25,449,56,35,0,0
2-07.json,4000,TAP,330.28564564255436,0.6570048309178761,235,764,56,56,56,0
2-07.json,5000,NAIVE,209.79947930544873,0.6280193236714984,23,458,56,35,0,0
