session,candidateSize,budget,algo,planSize,executedSize,im,avgDist,optiTime,execTime,reoptGood,reoptBad,imOfOPT
data/ssb_converted/explorative.xml_2,5,6000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0689,70,0,0,0.848752986927541
data/ssb_converted/explorative.xml_2,5,6000,TAP,5,5,25.500802651400175,0.04222222222222216,2,120,5,0,1.4059439849265405
data/ssb_converted/explorative.xml_2,5,7000,OPT,4,4,20.454795450222296,0.038888888888888834,20,93,0,0,1
data/ssb_converted/explorative.xml_2,5,7000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0605,70,0,0,0.9797843059332463
data/ssb_converted/explorative.xml_2,5,7000,TAP,5,5,25.500802651400175,0.04444444444444442,2,116,5,0,1.6229949969765156
data/ssb_converted/explorative.xml_2,5,8000,OPT,2,2,10.262198469319195,0.027777777777777735,14,45,0,0,1
data/ssb_converted/explorative.xml_2,5,8000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0286,69,0,0,1.1427171942319745
data/ssb_converted/explorative.xml_2,5,8000,TAP,5,5,25.500802651400175,0.04444444444444442,2,118,5,0,1.8928903820632268
data/ssb_converted/explorative.xml_2,5,9000,OPT,3,3,15.319118989322506,0.0296296296296296,21,70,0,0,1
data/ssb_converted/explorative.xml_2,5,9000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0711,71,0,0,0.8736526871732249
data/ssb_converted/explorative.xml_2,5,9000,TAP,5,5,25.500802651400175,0.04222222222222216,2,350,5,0,1.4471898884179906
data/ssb_converted/explorative.xml_2,5,10000,OPT,4,4,20.454795450222296,0.036111111111111066,7,92,0,0,1
data/ssb_converted/explorative.xml_2,5,10000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.072,72,0,0,1.1427171942319745
data/ssb_converted/explorative.xml_2,5,10000,TAP,5,5,25.500802651400175,0.039999999999999945,2,117,5,0,1.8928903820632268
data/ssb_converted/explorative.xml_3,5,1000,OPT,4,4,20.454795450222296,0.036111111111111066,16,91,0,0,1
data/ssb_converted/explorative.xml_3,5,1000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0708,72,0,0,1.012088236024961
data/ssb_converted/explorative.xml_3,5,1000,TAP,5,5,25.500802651400175,0.0422222222222222,3,117,5,0,1.6765058734051737
data/ssb_converted/explorative.xml_3,5,2000,OPT,3,3,15.328273441802892,0.03703703703703698,17,70,0,0,1
data/ssb_converted/explorative.xml_3,5,2000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0421,70,0,0,1.0610188654996358
data/ssb_converted/explorative.xml_3,5,2000,TAP,5,5,25.500802651400175,0.04222222222222216,2,116,5,0,1.7575585768985884
data/ssb_converted/explorative.xml_3,5,3000,OPT,3,3,15.328273441802892,0.03333333333333329,17,70,0,0,1
data/ssb_converted/explorative.xml_3,5,3000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0611,71,0,0,0.9867749325267102
data/ssb_converted/explorative.xml_3,5,3000,TAP,5,5,25.500802651400175,0.039999999999999945,2,117,5,0,1.6345748436001213
data/ssb_converted/explorative.xml_3,5,4000,OPT,5,5,25.500802651400175,0.04222222222222216,19,122,0,0,1
data/ssb_converted/explorative.xml_3,5,4000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0779,71,0,0,0.9968966208549713
data/ssb_converted/explorative.xml_3,5,4000,TAP,5,5,25.500802651400175,0.04444444444444438,2,349,5,0,1.6513412374056193
data/ssb_converted/explorative.xml_3,5,5000,OPT,2,2,10.192596980903101,0.0222222222222222,17,45,0,0,1
data/ssb_converted/explorative.xml_3,5,5000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0666,72,0,0,0.9317287584366102
data/ssb_converted/explorative.xml_3,5,5000,TAP,5,5,25.500802651400175,0.04222222222222216,1,120,5,0,1.5433918509660087
data/ssb_converted/explorative.xml_3,5,6000,OPT,2,2,10.186762162360441,0.0222222222222222,16,45,0,0,1
data/ssb_converted/explorative.xml_3,5,6000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0671,70,0,0,0.916544344021548
data/ssb_converted/explorative.xml_3,5,6000,TAP,5,5,25.500802651400175,0.04222222222222216,2,117,5,0,1.5182391428868662
data/ssb_converted/explorative.xml_3,5,7000,OPT,3,3,15.39455529628126,0.03703703703703698,17,70,0,0,1
data/ssb_converted/explorative.xml_3,5,7000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0299,67,0,0,1.007853602137041
data/ssb_converted/explorative.xml_3,5,7000,TAP,5,5,25.500802651400175,0.04444444444444438,2,115,5,0,1.6694912788944203
data/ssb_converted/explorative.xml_3,5,8000,OPT,2,2,10.192596980903101,0.0222222222222222,16,46,0,0,1
data/ssb_converted/explorative.xml_3,5,8000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.071,70,0,0,0.9842679005189581
data/ssb_converted/explorative.xml_3,5,8000,TAP,5,5,25.500802651400175,0.04222222222222216,2,120,5,0,1.6304219903841617
data/ssb_converted/explorative.xml_3,5,9000,OPT,4,4,20.454795450222296,0.036111111111111066,17,91,0,0,1
data/ssb_converted/explorative.xml_3,5,9000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0702,71,0,0,0.9236116860754742
data/ssb_converted/explorative.xml_3,5,9000,TAP,5,5,25.500802651400175,0.04444444444444442,2,120,5,0,1.529946067284393
data/ssb_converted/explorative.xml_3,5,10000,OPT,2,2,10.25887883538147,0.0222222222222222,18,46,0,0,1
data/ssb_converted/explorative.xml_3,5,10000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.089,70,0,0,1.0712361238602672
data/ssb_converted/explorative.xml_3,5,10000,TAP,5,5,25.500802651400175,0.04222222222222216,0,115,5,0,1.7744832807356503
data/ssb_converted/explorative.xml_4,5,1000,OPT,4,4,20.454795450222296,0.036111111111111066,5,93,0,0,1
data/ssb_converted/explorative.xml_4,5,1000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0696,70,0,0,0.9750634393981261
data/ssb_converted/explorative.xml_4,5,1000,TAP,5,5,25.500802651400175,0.04222222222222216,2,117,5,0,1.6151749668724453
data/ssb_converted/explorative.xml_4,5,2000,OPT,5,5,25.500802651400175,0.04444444444444442,16,116,0,0,1
data/ssb_converted/explorative.xml_4,5,2000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0569,72,0,0,1.197480039107175
data/ssb_converted/explorative.xml_4,5,2000,TAP,5,5,25.500802651400175,0.04222222222222216,2,119,5,0,1.9836040449729353
data/ssb_converted/explorative.xml_4,5,3000,OPT,2,2,10.262198469319195,0.027777777777777735,15,46,0,0,1
data/ssb_converted/explorative.xml_4,5,3000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0908,70,0,0,1.0714066130397002
data/ssb_converted/explorative.xml_4,5,3000,TAP,5,5,25.500802651400175,0.04444444444444442,2,118,5,0,1.7747656929804498
data/ssb_converted/explorative.xml_4,5,4000,OPT,5,5,25.500802651400175,0.039999999999999945,15,115,0,0,1
data/ssb_converted/explorative.xml_4,5,4000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0735,70,0,0,0.9153441569772371
data/ssb_converted/explorative.xml_4,5,4000,TAP,5,5,25.500802651400175,0.039999999999999945,2,119,5,0,1.516251054736692
data/ssb_converted/explorative.xml_4,5,5000,OPT,4,4,20.365126190500384,0.036111111111111066,19,96,0,0,1
data/ssb_converted/explorative.xml_4,5,5000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0667,72,0,0,0.8959170176389665
data/ssb_converted/explorative.xml_4,5,5000,TAP,5,5,25.500802651400175,0.04444444444444438,2,116,5,0,1.4840703494930552
data/ssb_converted/explorative.xml_4,5,6000,OPT,4,4,20.454795450222296,0.036111111111111066,7,94,0,0,1
data/ssb_converted/explorative.xml_4,5,6000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.061,70,0,0,1.0800125198741173
data/ssb_converted/explorative.xml_4,5,6000,TAP,5,5,25.500802651400175,0.039999999999999945,2,117,5,0,1.789021222133268
data/ssb_converted/explorative.xml_4,5,7000,OPT,4,4,20.454795450222296,0.038888888888888834,19,94,0,0,1
data/ssb_converted/explorative.xml_4,5,7000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0772,70,0,0,0.9349206706718839
data/ssb_converted/explorative.xml_4,5,7000,TAP,5,5,25.500802651400175,0.04444444444444438,2,117,5,0,1.5486791959023034
