session,candidateSize,budget,algo,planSize,executedSize,im,avgDist,optiTime,execTime,reoptGood,reoptBad
data/ssb_converted/explorative.xml_3,5,5000,TAP,2,5,10.268034071634219,0.027777777777777735,0,50,0,2
data/ssb_converted/explorative.xml_3,5,6000,OPT,3,3,15.3224398066701,0.03703703703703698,17,73,0,0
data/ssb_converted/explorative.xml_3,5,6000,NAIVE,5,3,15.394556513455344,0.03703703703703698,0,78,0,0
data/ssb_converted/explorative.xml_3,5,6000,TAP,2,5,10.262199305766874,0.027777777777777735,0,48,0,2
data/ssb_converted/explorative.xml_3,5,7000,OPT,4,4,20.454797014358572,0.036111111111111066,14,97,0,0
data/ssb_converted/explorative.xml_3,5,7000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,72,0,0
data/ssb_converted/explorative.xml_3,5,7000,TAP,2,5,10.262199305766874,0.027777777777777735,0,48,0,2
data/ssb_converted/explorative.xml_3,5,8000,OPT,4,4,20.454797014358572,0.038888888888888834,14,97,0,0
data/ssb_converted/explorative.xml_3,5,8000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,76,0,0
data/ssb_converted/explorative.xml_3,5,8000,TAP,2,5,10.262199305766874,0.027777777777777735,0,51,0,2
data/ssb_converted/explorative.xml_3,5,9000,OPT,3,3,15.319120150412825,0.0296296296296296,14,152,0,0
data/ssb_converted/explorative.xml_3,5,9000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,73,0,0
data/ssb_converted/explorative.xml_3,5,9000,TAP,2,5,10.268034071634219,0.027777777777777735,1,50,0,2
data/ssb_converted/explorative.xml_3,5,10000,OPT,5,5,25.500804609658395,0.04444444444444438,15,124,0,0
data/ssb_converted/explorative.xml_3,5,10000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,72,0,0
data/ssb_converted/explorative.xml_3,5,10000,TAP,2,5,10.268034071634219,0.027777777777777735,0,47,0,2
data/ssb_converted/explorative.xml_4,5,1000,OPT,2,2,10.258879649509595,0.0222222222222222,15,48,0,0
data/ssb_converted/explorative.xml_4,5,1000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,72,0,0
data/ssb_converted/explorative.xml_4,5,1000,TAP,2,5,10.262199305766874,0.027777777777777735,0,51,0,2
data/ssb_converted/explorative.xml_4,5,2000,OPT,3,3,15.394556513455344,0.03703703703703698,15,72,0,0
