id,budget,algorithm,im,avgDist,optTime,execTime,candidates,nbExecuted
1-03.json,1000,TAP,77.63996371062422,0.2584541062801936,29,960,35,12
1-03.json,1500,NAIVE,103.15513704510315,0.2934782608695652,14,775,35,16
1-03.json,1500,TAP,168.1161344541091,0.5000000000000007,71,1354,35,26
1-03.json,2000,NAIVE,135.56301885477916,0.44444444444444464,16,627,35,21
1-03.json,2000,TAP,225.1922194411739,0.8188405797101452,47,457,35,35
1-03.json,2500,NAIVE,161.47230976154313,0.5144927536231886,8,229,35,25
1-03.json,2500,TAP,225.1922194411739,0.8212560386473434,34,281,35,35
1-03.json,3000,NAIVE,193.8671649554197,0.6328502415458942,6,268,35,30
1-03.json,3000,TAP,225.1922194411739,0.8260869565217395,31,297,35,35
1-03.json,4000,NAIVE,200.34299489904623,0.6352657004830922,6,274,35,31
1-03.json,4000,TAP,225.1922194411739,0.8285024154589374,27,308,35,35
1-03.json,5000,NAIVE,200.34299489904623,0.630434782608696,8,273,35,31
1-03.json,5000,TAP,225.1922194411739,0.8429951690821259,31,288,35,35
1-04.json,500,NAIVE,31.794460658731076,0.04106280193236711,25,819,84,5
1-04.json,500,TAP,56.84537053347773,0.14251207729468574,72,347,84,9
1-04.json,1000,NAIVE,57.02267876382845,0.13043478260869568,13,72,84,9
1-04.json,1000,TAP,421.65931135493514,1.1777294685990345,335,602,84,68
1-04.json,1500,NAIVE,82.39846579322389,0.2487922705314013,19,131,84,13
1-04.json,1500,TAP,518.6234761180092,1.2536231884057991,379,754,84,84
1-04.json,2000,NAIVE,114.04854156496745,0.38043478260869557,17,151,84,18
1-04.json,2000,TAP,518.6234761180092,1.23449275362319,448,842,84,84
1-04.json,2500,NAIVE,139.4524537949781,0.4782608695652174,19,239,84,22
1-04.json,2500,TAP,518.6234761180092,1.2228019323671515,483,730,84,84
1-04.json,3000,NAIVE,164.9400455759693,0.5362318840579711,20,214,84,26
1-04.json,3000,TAP,518.6234761180092,1.2536231884057982,471,657,84,84
1-04.json,4000,NAIVE,203.1043891020887,0.6618357487922707,22,246,84,32
1-04.json,4000,TAP,518.6234761180092,1.2318840579710155,554,652,84,84
1-04.json,5000,NAIVE,203.1043891020887,0.6594202898550725,24,245,84,32
1-04.json,5000,TAP,518.6234761180092,1.188599033816427,579,635,84,84
1-05.json,500,NAIVE,34.451530385708054,0.04951690821256027,11,31,78,5
1-05.json,500,TAP,214.20303220270875,0.6570048309178746,209,190,78,31
1-05.json,1000,NAIVE,62.04732487003352,0.13526570048309194,13,46,78,9
1-05.json,1000,TAP,527.1491778357242,0.9867149758454127,287,291,78,78
1-05.json,1500,NAIVE,89.74175466974725,0.25120772946859915,13,51,78,13
1-05.json,1500,TAP,527.1491778357242,0.960144927536233,330,238,78,78
1-05.json,2000,NAIVE,117.46619914545842,0.3502415458937199,14,57,78,17
1-05.json,2000,TAP,527.1491778357242,1.0193236714975864,380,226,78,78
1-05.json,2500,NAIVE,138.2897986985335,0.4118357487922706,16,72,78,20
1-05.json,2500,TAP,527.1491778357242,0.9541062801932384,417,230,78,78
1-05.json,3000,NAIVE,166.15175888879452,0.4613526570048313,19,80,78,24
1-05.json,3000,TAP,527.1491778357242,1.024154589371982,458,243,78,78
1-05.json,4000,NAIVE,221.70900207607312,0.6714975845410632,20,99,78,32
1-05.json,4000,TAP,527.1491778357242,1.0193236714975862,537,237,78,78
1-05.json,5000,NAIVE,221.70900207607312,0.6618357487922706,22,115,78,32
1-05.json,5000,TAP,527.1491778357242,0.9021739130434803,611,244,78,78
2-07.json,500,NAIVE,47.60386019344343,0.05797101449275388,9,259,56,8
2-07.json,500,TAP,35.90033911896773,0.1304347826086958,57,423,56,6
2-07.json,1000,NAIVE,83.57843521559703,0.15942028985507273,32,293,56,14
2-07.json,1000,TAP,125.74204979224153,0.36231884057971075,190,767,56,21
2-07.json,1500,NAIVE,119.57510558984079,0.31884057971014546,14,207,56,20
2-07.json,1500,TAP,174.0800802875325,0.5483091787439619,229,1229,56,29
2-07.json,2000,NAIVE,155.6603666769102,0.44927536231884124,15,243,56,26
2-07.json,2000,TAP,330.28564564255436,1.1099033816425128,299,1299,56,56
2-07.json,2500,NAIVE,191.78796182708825,0.5700483091787445,19,290,56,32
2-07.json,2500,TAP,330.28564564255436,1.0471014492753636,286,530,56,56
2-07.json,3000,NAIVE,209.79947930544873,0.6231884057971019,17,321,56,35
2-07.json,3000,TAP,330.28564564255436,1.0181159420289867,277,537,56,56
2-07.json,4000,NAIVE,209.79947930544873,0.628019323671498,17,324,56,35
2-07.json,4000,TAP,330.28564564255436,1.1570048309178753,164,515,56,56
